MNC_Id	Spruce_contig_dir8_Name
MNC5687020	Contig1
MNC5687021	Contig2
MNC5687022	Contig3
MNC5687023	Contig4
MNC5687026	Contig7
MNC5687027	Contig8
MNC5687028	Contig9
MNC5687029	Contig10
MNC5687029	Contig10
MNC5687034	Contig15
MNC5687041	Contig22
MNC5687042	Contig23
MNC5687047	Contig28
MNC5687050	Contig31
MNC5687059	Contig40
MNC5687060	Contig41
MNC5687062	Contig43
MNC5687068	Contig49
MNC5687077	Contig58
MNC5687086	Contig67
MNC5687096	Contig77
MNC5687097	Contig78
MNC5687100	Contig81
MNC5687103	Contig84
MNC5687107	Contig88
MNC5687123	Contig104
MNC5687141	Contig122
MNC5687148	Contig129
MNC5687150	Contig131
MNC5687153	Contig134
MNC5687155	Contig136
MNC5687156	Contig137
MNC5687156	Contig137
MNC5687160	Contig141
MNC5687162	Contig143
MNC5687163	Contig144
MNC5687167	Contig148
MNC5687168	Contig149
MNC5687169	Contig150
MNC5687174	Contig155
MNC5687185	Contig166
MNC5687190	Contig171
MNC5687194	Contig175
MNC5687195	Contig176
MNC5687199	Contig180
MNC5687200	Contig181
MNC5687202	Contig183
MNC5687206	Contig187
MNC5687207	Contig188
MNC5687207	Contig188
MNC5687208	Contig189
MNC5687220	Contig201
MNC5687221	Contig202
MNC5687224	Contig205
MNC5687226	Contig207
MNC5687227	Contig208
MNC5687232	Contig213
MNC5687233	Contig214
MNC5687236	Contig217
MNC5687240	Contig221
MNC5687249	Contig230
MNC5687257	Contig238
MNC5687263	Contig244
MNC5687271	Contig252
MNC5687275	Contig256
MNC5687284	Contig265
MNC5687285	Contig266
MNC5687290	Contig271
MNC5687299	Contig280
MNC5687307	Contig288
MNC5687311	Contig292
MNC5687312	Contig293
MNC5687317	Contig298
MNC5687328	Contig309
MNC5687331	Contig312
MNC5687334	Contig315
MNC5687340	Contig321
MNC5687342	Contig323
MNC5687346	Contig327
MNC5687358	Contig339
MNC5687361	Contig342
MNC5687367	Contig348
MNC5687371	Contig352
MNC5687383	Contig364
MNC5687391	Contig372
MNC5687393	Contig374
MNC5687395	Contig376
MNC5687404	Contig385
MNC5687408	Contig389
MNC5687414	Contig395
MNC5687418	Contig399
MNC5687420	Contig401
MNC5687428	Contig409
MNC5687436	Contig417
MNC5687438	Contig419
MNC5687442	Contig423
MNC5687445	Contig426
MNC5687446	Contig427
MNC5687449	Contig430
MNC5687457	Contig438
MNC5687464	Contig445
MNC5687467	Contig448
MNC5687471	Contig452
MNC5687480	Contig461
MNC5687490	Contig471
MNC5687496	Contig477
MNC5687509	Contig490
MNC5687510	Contig491
MNC5687510	Contig491
MNC5687526	Contig507
MNC5687528	Contig509
MNC5687529	Contig510
MNC5687534	Contig515
MNC5687537	Contig518
MNC5687537	Contig518
MNC5687538	Contig519
MNC5687540	Contig521
MNC5687549	Contig530
MNC5687550	Contig531
MNC5687552	Contig533
MNC5687556	Contig537
MNC5687561	Contig542
MNC5687565	Contig546
MNC5687567	Contig548
MNC5687568	Contig549
MNC5687571	Contig552
MNC5687591	Contig572
MNC5687596	Contig577
MNC5687598	Contig579
MNC5687599	Contig580
MNC5687600	Contig581
MNC5687608	Contig589
MNC5687613	Contig594
MNC5687625	Contig606
MNC5687634	Contig615
MNC5687635	Contig616
MNC5687645	Contig626
MNC5687657	Contig638
MNC5687659	Contig640
MNC5687670	Contig651
MNC5687673	Contig654
MNC5687675	Contig656
MNC5687695	Contig676
MNC5687698	Contig679
MNC5687700	Contig681
MNC5687701	Contig682
MNC5687707	Contig688
MNC5687709	Contig690
MNC5687723	Contig704
MNC5687739	Contig720
MNC5687747	Contig728
MNC5687750	Contig731
MNC5687750	Contig731
MNC5687751	Contig732
MNC5687757	Contig738
MNC5687766	Contig747
MNC5687768	Contig749
MNC5687771	Contig752
MNC5687778	Contig759
MNC5687780	Contig761
MNC5687785	Contig766
MNC5687788	Contig769
MNC5687792	Contig773
MNC5687799	Contig780
MNC5687809	Contig790
MNC5687813	Contig794
MNC5687816	Contig797
MNC5687821	Contig802
MNC5687825	Contig806
MNC5687829	Contig810
MNC5687835	Contig816
MNC5687839	Contig820
MNC5687839	Contig820
MNC5687846	Contig827
MNC5687849	Contig830
MNC5687855	Contig836
MNC5687860	Contig841
MNC5687866	Contig847
MNC5687867	Contig848
MNC5687869	Contig850
MNC5687887	Contig868
MNC5687890	Contig871
MNC5687899	Contig880
MNC5687907	Contig888
MNC5687911	Contig892
MNC5687912	Contig893
MNC5687917	Contig898
MNC5687919	Contig900
MNC5687922	Contig903
MNC5687923	Contig904
MNC5687924	Contig905
MNC5687925	Contig906
MNC5687933	Contig914
MNC5687938	Contig919
MNC5687948	Contig929
MNC5687949	Contig930
MNC5687961	Contig942
MNC5687966	Contig947
MNC5687969	Contig950
MNC5687981	Contig962
MNC5687983	Contig964
MNC5687991	Contig972
MNC5687996	Contig977
MNC5687996	Contig977
MNC5688004	Contig985
MNC5688011	Contig992
MNC5688016	Contig997
MNC5688019	Contig1000
MNC5688037	Contig1018
MNC5688042	Contig1023
MNC5688048	Contig1029
MNC5688050	Contig1031
MNC5688052	Contig1033
MNC5688067	Contig1048
MNC5688084	Contig1065
MNC5688084	Contig1065
MNC5688098	Contig1079
MNC5688104	Contig1085
MNC5688108	Contig1089
MNC5688116	Contig1097
MNC5688123	Contig1104
MNC5688127	Contig1108
MNC5688137	Contig1118
MNC5688138	Contig1119
MNC5688150	Contig1131
MNC5688152	Contig1133
MNC5688154	Contig1135
MNC5688156	Contig1137
MNC5688157	Contig1138
MNC5688158	Contig1139
MNC5688160	Contig1141
MNC5688165	Contig1146
MNC5688166	Contig1147
MNC5688170	Contig1151
MNC5688171	Contig1152
MNC5688172	Contig1153
MNC5688173	Contig1154
MNC5688174	Contig1155
MNC5688179	Contig1160
MNC5688180	Contig1161
MNC5688181	Contig1162
MNC5688182	Contig1163
MNC5688183	Contig1164
MNC5688185	Contig1166
MNC5688186	Contig1167
MNC5688187	Contig1168
MNC5688188	Contig1169
MNC5688189	Contig1170
MNC5688191	Contig1172
MNC5688193	Contig1174
MNC5688194	Contig1175
MNC5688197	Contig1178
MNC5688198	Contig1179
MNC5688199	Contig1180
MNC5688202	Contig1183
MNC5688203	Contig1184
