MNC5687700	weakly similar to UP|Q8H2A7 (Q8H2A7) PFE18 protein  (Fragment)
MNC5693984	similar to UP|RLA1_MAIZE (P52855) 60S acidic ribosomal  protein P1 (L12)
MNC5693985	similar to UP|O22402 (O22402) GDP dissociation inhibitor
MNC5693979	homologue to UP|Q9AVU0 (Q9AVU0) 40S ribosomal protein S2
MNC5693980	
MNC5693987	weakly similar to UP|Q9ZP47 (Q9ZP47) Laccase precursor  
MNC5693988	
MNC5697540	similar to UP|TF2B_ORYSA (Q8W0W3) Transcription initiation  factor IIB (General transcription factor TFIIB)
MNC5695536	weakly similar to GB|AAL28389.1|16768340|AY060841 GM02110p  {Drosophila melanogaster;} 
MNC5695535	
MNC5695534	weakly similar to PIR|T49928|T49928 beta-glucosidase-like  protein - Arabidopsis thaliana {Arabidopsis thaliana;} 
MNC5695533	similar to GB|BAC78560.1|32352134|AB110168 caffeoyl-CoA  3-O-methyltransferase {Oryza sativa (japonica cultivar-group);} 
MNC5695531	weakly similar to UP|Q8CAI9 (Q8CAI9) Mus musculus adult  male hypothalamus cDNA
MNC5695530	similar to UP|O82230 (O82230) Expressed protein  (At2g24020/T29E15.22)
MNC5695529	
MNC5690255	homologue to UP|Q9LZT0 (Q9LZT0) Histone H2B-like protein
MNC5695538	homologue to UP|RBS_PINTH (P10053) Ribulose bisphosphate  carboxylase small chain
MNC5695537	weakly similar to UP|Q8LPN7 (Q8LPN7) AT3g19950/MPN9_19
MNC5701148	
MNC5696164	similar to UP|PMM_ARATH (O80840) Probable phosphomannomutase   (PMM) 
MNC5698504	similar to UP|RPB8_CAEEL (Q19826) Probable DNA-directed RNA  polymerases I
MNC5696163	homologue to UP|Q84JL9 (Q84JL9) NAD-dependent isocitrate  dehydrogenase beta subunit  
MNC5695339	
MNC5691140	
MNC5696167	similar to UP|Q9M887 (Q9M887) RAD23-like protein  (AT3g02540/F16B3_17)
MNC5691967	similar to UP|Q940Y6 (Q940Y6) AT4g27600/T29A15_90
MNC5695344	similar to UP|Q93YH0 (Q93YH0) Clp protease 2 proteolytic  subunit precursor
MNC5690166	similar to UP|Q40767 (Q40767) DAL3 protein
MNC5699331	similar to UP|Q9LLL7 (Q9LLL7) Omega-6 fatty acid  desaturase
MNC5696991	similar to UP|Q9LST0 (Q9LST0) Aspartyl aminopeptidase  (AT5g60160/f15l12_20)
MNC5696992	homologue to UP|MT3_PICGL (Q40854) Metallothionein-like  protein EMB30
MNC5696989	weakly similar to UP|Q7Q651 (Q7Q651) AgCP6017 (Fragment)
MNC5696990	similar to UP|PRO1_RICCO (O82572) Profilin 1
MNC5696995	similar to UP|Q9ZRS7 (Q9ZRS7) Ubiquitin-conjugating enzyme  E2
MNC5696996	similar to UP|Q9LM85 (Q9LM85) F2D10.18
MNC5696993	similar to UP|Q6WJ05 (Q6WJ05) Central motor kinesin 1
MNC5696994	similar to UP|Q43661 (Q43661) Wali7 protein (Fragment)
MNC5699633	similar to UP|Q9FK16 (Q9FK16) Emb|CAB71094.1 (At5g53250)
MNC5698507	similar to UP|Q7X9B8 (Q7X9B8) Ferrous ion membrane  transport protein DMT1
MNC5696997	similar to UP|Q93ZH7 (Q93ZH7) AT5g03040/F15A17_70
MNC5696998	similar to UP|Q9LKA0 (Q9LKA0) Similarity to SF16 protein
MNC5699630	
MNC5699631	
MNC5698508	similar to UP|Q9LMU1 (Q9LMU1) F2H15.10
MNC5694791	weakly similar to UP|Q84SH1 (Q84SH1) Serine/threonine  kinase receptor-like protein
MNC5694789	water deficit inducible protein LP3-3 [Pinus taeda]  
MNC5694795	weakly similar to GP|20161213|dbj OJ1414_E05.5 {Oryza  sativa (japonica cultivar-group)}
MNC5694793	
MNC5690621	similar to UP|Q9ASZ9 (Q9ASZ9) At1g60730/F8A5_24
MNC5690622	homologue to gb|AF036489.1|AF036489 Ephedra distachya large  subunit 26S ribosomal RNA gene
MNC5690620	
MNC5690626	similar to UP|Q7XYV6 (Q7XYV6) ASR2
MNC5690628	weakly similar to UP|Q8S2R9 (Q8S2R9) Aluminum-induced  protein-like protein
MNC5694676	similar to UP|Q6R2J8 (Q6R2J8) Strubbelig receptor family 8
MNC5701769	similar to UP|Q9LIR6 (Q9LIR6) Beta-amylase  (AT3g23920/F14O13_11)
MNC5696620	
MNC5696621	similar to UP|PS22_ARATH (O24633) Proteasome subunit beta  type 2-2  (20S proteasome alpha subunit D2) 
MNC5696622	similar to UP|Q7PC53 (Q7PC53) Chitinase B
MNC5696625	homologue to UP|THIH_PICMA (O65049) Thioredoxin H-type  (TRX-H)
MNC5692973	weakly similar to UP|Q8GSN9 (Q8GSN9) LRR receptor-like  kinase (Fragment)
MNC5692974	homologue to UP|Q9AVT4 (Q9AVT4) 60S ribosomal protein L13E
MNC5692976	similar to GB|AAP13413.1|30023760|BT006305 At3g55530  {Arabidopsis thaliana;} 
MNC5692969	similar to GB|AAK84220.1|15100049|AF401297 transcription  factor bZIP29 {Arabidopsis thaliana;} 
MNC5688875	similar to UP|Q8VX73 (Q8VX73) Cyclophilin  
MNC5694671	similar to PDB|1YVE_I.0|2554835|1YVE_I Chain I
MNC5688576	UP|O65014 (O65014) PRE87 protein
MNC5690485	similar to UP|Q99738 (Q99738) Pinin
MNC5700278	weakly similar to UP|Q8S0S4 (Q8S0S4) Calcyclin binding  protein-like
MNC5690484	
MNC5690482	similar to GB|AAO42817.1|28416573|BT004571 At1g27330  {Arabidopsis thaliana;} 
MNC5690479	weakly similar to UP|Q93XB9 (Q93XB9) Bax inhibitor 1
MNC5690480	
MNC5700272	ORF67c [Pinus thunbergii]  
MNC5700270	similar to PIR|T06644|T06644 calmodulin homolog T20K18.210  - Arabidopsis thaliana {Arabidopsis thaliana;} 
MNC5700269	homologue to UP|Q9SNZ1 (Q9SNZ1) Ubiquitin
MNC5700276	similar to UP|Q9XGN4 (Q9XGN4) Galactinol synthase
MNC5688692	similar to UP|Q9FFD8 (Q9FFD8) Gb|AAF26981.1 (At5g16470)
MNC5690487	similar to GB|AAL90913.1|19699093|AY090251  AT4g35870/F4B14_140 {Arabidopsis thaliana;} 
MNC5688569	homologue to UP|RL10_PINTA (O22431) 60S ribosomal protein L10  (Wilm's tumor suppressor homolog)
