MNC5687700	
MNC5693984	similar to UP|RLA1_MAIZE (P52855) 60S acidic ribosomal  protein P1 (L12)
MNC5693985	
MNC5693979	UP|Q9AVU0 (Q9AVU0) 40S ribosomal protein S2
MNC5693980	
MNC5693987	weakly similar to UP|Q9LYQ2 (Q9LYQ2) Laccase-like protein
MNC5693988	
MNC5694183	weakly similar to UP|Q9LWD0 (Q9LWD0) ESTs C27640(C52458)
MNC5692454	weakly similar to UP|Q94G18 (Q94G18) 4-coumarate
MNC5695536	weakly similar to UP|Q86B49 (Q86B49) CG5424-PC
MNC5695535	
MNC5695534	weakly similar to UP|Q9FLG1 (Q9FLG1) Beta-xylosidase
MNC5695533	similar to GB|BAC78560.1|32352134|AB110168 caffeoyl-CoA  3-O-methyltransferase {Oryza sativa (japonica cultivar-group);} 
MNC5695531	similar to UP|MCA1_HUMAN (Q12904) Multisynthetase complex  auxiliary component p43 [Contains
MNC5695530	similar to UP|O82230 (O82230) Expressed protein  (At2g24020/T29E15.22)
MNC5695529	weakly similar to UP|Q9FQ03 (Q9FQ03) XRN3
MNC5690255	homologue to UP|H2B3_VOLCA (P16867) Histone H2B-III
MNC5695538	similar to UP|RBS_LARLA (P16031) Ribulose bisphosphate  carboxylase small chain
MNC5695537	similar to UP|Q6Z303 (Q6Z303) Zinc finger-like
MNC5699338	
MNC5701148	
MNC5696164	similar to UP|PMM_ARATH (O80840) Probable phosphomannomutase  (PMM) 
MNC5698504	weakly similar to UP|RPB8_CAEEL (Q19826) Probable  DNA-directed RNA polymerases I
MNC5696163	similar to UP|Q8LFC0 (Q8LFC0) NAD+ dependent isocitrate  dehydrogenase subunit 1
MNC5698499	
MNC5691140	weakly similar to GB|AAR87243.1|40538986|AC092556 expressed  protein {Oryza sativa (japonica cultivar-group);} 
MNC5691967	similar to UP|Q8L993 (Q8L993) Carbohydrate kinase-like  protein
MNC5691926	
MNC5695344	similar to UP|Q93YH0 (Q93YH0) Clp protease 2 proteolytic  subunit precursor
MNC5690315	weakly similar to UP|Q6K649 (Q6K649) Kelch repeat-containing  F-box protein-like
MNC5689388	
MNC5699331	
MNC5696991	similar to UP|Q9LST0 (Q9LST0) Aspartyl aminopeptidase  (AT5g60160/f15l12_20)
MNC5696992	similar to UP|MT3_PICGL (Q40854) Metallothionein-like  protein EMB30
MNC5696989	weakly similar to UP|Q9GZ04 (Q9GZ04) LIN-39
MNC5696990	similar to UP|Q84MM5 (Q84MM5) Profilin
MNC5696995	similar to UP|Q9ZRS7 (Q9ZRS7) Ubiquitin-conjugating enzyme E2
MNC5696996	similar to UP|O04692 (O04692) DNA-binding protein
MNC5696993	similar to UP|Q6WJ05 (Q6WJ05) Central motor kinesin 1
