MNC5687700	[PF00569.7;ZZ]
MNC5693984	[PF00428.7;Ribosomal_60s]
MNC5693985	[PF00996.7;GDI]
MNC5693979	[PF03719.3;Ribosomal_S5_C]
MNC5693987	[PF00394.11;Cu-oxidase]
MNC5693988	[PF00646.18;F-box]
MNC5695534	[PF01915.11;Glyco_hydro_3_C]
MNC5695533	[PF01596.7;Methyltransf_3]
MNC5695531	[PF00403.13;HMA]
MNC5695530	[PF02575.4;DUF149]
MNC5695538	[PF00101.8;RuBisCO_small]
MNC5695537	[PF00097.10;zf-C3HC4]
MNC5692898	[PF02364.5;Glucan_synthase]
MNC5695340	[PF01965.11;DJ-1_PfpI]
MNC5690162	[PF02798.7;GST_N]
MNC5695510	[PF01679.6;UPF0057]
MNC5695516	[PF00125.10;Histone]
MNC5695514	[PF00687.10;Ribosomal_L1]
MNC5696991	[PF02127.5;Peptidase_M18]
MNC5696992	[PF01439.7;Metallothio_2]
MNC5696989	[PF01679.6;UPF0057]
MNC5696990	[PF00235.7;Profilin]
MNC5696995	[PF00179.14;UQ_con]
MNC5696996	[PF00505.7;HMG_box]
MNC5696993	[PF00225.11;Kinesin]
MNC5694791	[PF00069.12;Pkinase]
MNC5694795	[PF04862.2;DUF642]
MNC5694793	[PF02536.4;mTERF]
MNC5690621	[PF00248.9;Aldo_ket_red]
MNC5690620	[PF01253.10;SUI1]
MNC5690626	[PF02496.5;ABA_WDS]
MNC5696621	[PF00227.13;Proteasome]
MNC5696623	[PF01871.7;AMMECR1]
MNC5696624	[PF03141.4;DUF248]
MNC5696625	[PF00085.8;Thioredoxin]
MNC5692973	[PF00069.12;Pkinase]
MNC5692974	[PF01294.7;Ribosomal_L13e]
MNC5692976	[PF00097.10;zf-C3HC4]
MNC5692970	[PF03492.3;Methyltransf_7]
MNC5688875	[PF00160.10;Pro_isomerase]
MNC5694671	[PF01450.8;IlvC]
MNC5690484	[PF00226.16;DnaJ]
MNC5690479	[PF01027.10;UPF0005]
MNC5690487	[PF02714.5;DUF221]
MNC5688878	[PF00179.14;UQ_con]
MNC5688696	[PF00996.7;GDI]
MNC5692623	[PF00182.8;Glyco_hydro_19]
MNC5691620	[PF02704.4;GASA]
MNC5691624	[PF05753.2;TRAP_beta]
MNC5691623	[PF02779.10;Transket_pyr]
MNC5692628	[PF00106.12;adh_short]
MNC5690344	[PF00226.16;DnaJ]
MNC5690343	[PF07876.1;Dabb]
MNC5689754	[PF01761.7;DHQ_synthase]
MNC5689753	[PF00295.7;Glyco_hydro_28]
