LinJ03.0010:f:601712-603886
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";894;166.877200360025;1021;72.1248916810278;-0.987945498812206;0.427317550126233
"083006B Cy3";789.5;72.8319984622144;1373;432.749350086167;-1.88041719381086;0.200796465782447
"MM150606 Cy3";1882.5;300.520382004283;1638;100.409162928490;1.09128679657935;0.389083526624332
"JM150606B Cy3";2342;248.901586977665;1711;219.203102167830;2.69056858080461;0.114827650800821
"082306B Cy5";908;137.178715550190;1372;76.3675323681471;-4.1795017997505;0.052757395335869
"083006B Cy5";542;104.651803615609;835.5;150.613744392735;-2.26317274129837;0.151956329016001
"MM150606 Cy5";3929;312.541197284454;4080;115.965512114594;-0.640584296403732;0.587393190108811
"JM150606B Cy5";1571.5;105.358910396796;1141;16.9705627484771;5.70499004012705;0.0293776715285174
LinJ04.1250:r:1388553-1389683
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2308;222.031529292576;3414;2621.95194463972;-0.594420516194196;0.612517721934665
"083006B Cy3";2607;193.747258045114;4756.5;60.1040764008565;-14.9852809278944;0.00442365256717087
"MM150606 Cy3";2477.5;327.390439689371;7372;1746.55374953077;-3.89531336930216;0.0600312377560517
"JM150606B Cy3";7382.5;62.9325035256027;12690.5;4437.09505194559;-1.69162268955068;0.232789644419073
"082306B Cy5";2479.5;251.022907321224;17523.5;16149.6117755196;-1.31723656820144;0.318427665133865
"083006B Cy5";1436.5;37.476659402887;2731.5;34.6482322781408;-35.8823520157253;0.000775769315748063
"MM150606 Cy5";12635;541.643794388895;30077.5;5476.54202028981;-4.48232719675249;0.0463404974566966
"JM150606B Cy5";3269;19.7989898732233;5930.5;1948.07918216894;-1.93202363184479;0.193076717362900
LinJ06.0080:r:1896416-1898389
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";1126.5;200.111219075793;1187.5;197.282791951047;-0.306992321472244;0.787864259934941
"083006B Cy3";1254;272.943217538007;1019;12.7279220613579;1.21629484843014;0.347938793936477
"MM150606 Cy3";652.5;99.7020561473032;1137;247.487373415292;-2.56801619133541;0.124044153395883
"JM150606B Cy3";615;49.4974746830583;754.5;118.086832458153;-1.54077817260278;0.263282717056378
"082306B Cy5";841.5;140.714249456123;1092.5;75.6604255869606;-2.22180450965833;0.156396639994277
"083006B Cy5";1123;154.149278298667;946.5;48.7903679018718;1.54378262676435;0.262626891144725
"MM150606 Cy5";1107.5;252.437120883597;1743.5;323.147799002252;-2.19343600986167;0.1595451666276
"JM150606B Cy5";674.5;98.2878425849301;892.5;51.618795026618;-2.77701373310138;0.108896715445535
LinJ10.0780:r:4380886-4382679
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2638;43.8406204335659;32739.5;3864.33855918448;-11.015393612506;0.00814087935653976
"083006B Cy3";3753.5;844.992603517924;34398;7505.23137551402;-5.73810144641068;0.0290541950801438
"MM150606 Cy3";3074.5;485.782358675158;7126.5;432.042243304981;-8.81447736281597;0.0126275645680478
"JM150606B Cy3";4052.5;1349.86684528512;7008;448.305699272271;-2.93856499466979;0.0989203110055128
"082306B Cy5";6240;291.327993848858;48079;6677.91644152575;-8.85202095017187;0.0125226778640961
"083006B Cy5";1208.5;105.358910396796;10674.5;787.009847460627;-16.8594777938923;0.00349967137172614
"MM150606 Cy5";14664;1244.50793488832;28430;1750.79639021789;-9.06316374455327;0.0119562978171033
"JM150606B Cy5";2880.5;880.347942577252;5295;526.087445202791;-3.32950483731896;0.0795869047214133
LinJ11.0040:f:4797802-4798707
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";5060;480.832611206852;5674;1152.58405333407;-0.69529610130024;0.558792130983715
"083006B Cy3";4508.5;14.8492424049175;4914;62.2253967444162;-8.9641994805687;0.0122169038967391
