MNC5687700	putative ubiquitin-associated (UBA) protein [Oryza sativa (japonica  cultivar-group)] dbj|BAD17721.1| putative ubiquitin-associated (UBA) protein [Oryza sativa (japonica cultivar-group)] 
MNC5693984	putative acidic ribosomal protein P1a [Oryza sativa (japonica  cultivar-group)] 
MNC5693985	cystatin II [Zea mays]  
MNC5693979	40S ribosomal protein S2 [Picea abies]  
MNC5693980	unknown protein [Oryza sativa (japonica cultivar-group)]  gb|AAM93694.1| unknown protein [Oryza sativa (japonica cultivar-group)] gb|AAP54466.1| unknown protein [Oryza sativa (japonica cultivar-group)] 
MNC5693987	laccase [Pinus taeda]  
MNC5693988	F-box family protein [Arabidopsis thaliana]  dbj|BAB09380.1| unnamed protein product [Arabidopsis thaliana] gb|AAM13894.1| unknown protein [Arabidopsis thaliana] gb|AAM67477.1| unknown protein [Arabidopsis thaliana] 
MNC5695535	OSJNBa0044M19.10 [Oryza sativa (japonica cultivar-group)]  
MNC5695534	OSJNBb0079B02.3 [Oryza sativa (japonica cultivar-group)]  emb|CAE03631.2| OSJNBb0003B01.22 [Oryza sativa (japonica cultivar-group)] 
MNC5695533	Caffeoyl-CoA O-methyltransferase 1 (Trans-caffeoyl-CoA  3-O-methyltransferase 1) (CCoAMT-1) (CCoAOMT-1) gb|AAC26191.1| caffeoyl-CoA 3-O-methyltransferase; CCOMT; S-adenosyl-L-methionine
MNC5695531	OSJNBa0043A12.4 [Oryza sativa (japonica cultivar-group)]  
MNC5695530	expressed protein [Arabidopsis thaliana]  gb|AAK82497.1| At2g24020/T29E15.22 [Arabidopsis thaliana] gb|AAM10301.1| At2g24020/T29E15.22 [Arabidopsis thaliana] gb|AAC63670.2| expressed protein [Arabidopsis thaliana] 
MNC5695529	hypothetical protein F20D21.30 [imported] - Arabidopsis thaliana  gb|AAD25627.1| very similar to mouse Dhm1 and Dhm2 [Arabidopsis thaliana] 
MNC5695538	Ribulose bisphosphate carboxylase small chain
MNC5695537	putative zinc finger protein [Oryza sativa (japonica  cultivar-group)] gb|AAL59019.1| putative zinc finger protein [Oryza sativa] gb|AAP54362.1| putative zinc finger protein [Oryza sativa (japonica cultivar-group)] 
MNC5695518	RNA binding protein 3 - wood tobacco  dbj|BAA22083.1| RNA binding protein [Nicotiana sylvestris] 
MNC5699337	plasma membrane proton ATPase [Nicotiana plumbaginifolia]  
MNC5701148	hypothetical protein [Oryza sativa (indica cultivar-group)]  
MNC5696164	OSJNBa0032F06.16 [Oryza sativa (japonica cultivar-group)]  
MNC5698504	putative RNA polymerase [Oryza sativa (japonica cultivar-group)]  gb|AAO73277.1| putative RNA polymerase [Oryza sativa (japonica cultivar-group)] gb|AAS07361.1| putative  RNA polymerase [Oryza sativa (japonica cultivar-group)] 
MNC5696163	NAD+ dependent isocitrate dehydrogenase subunit 1 [Arabidopsis  thaliana] 
MNC5695340	DJ-1 family protein [Arabidopsis thaliana]  gb|AAF69547.1| F12M16.18 [Arabidopsis thaliana] gb|AAL07117.1| unknown protein [Arabidopsis thaliana] gb|AAM14123.1| unknown protein [Arabidopsis thaliana] 
